"id","name","region_id","group_id","Accessibility_Index","Affordability_Index_no_nav","Affordability_Index_nav","Mobility_Index","Safety_Index","IMPT_score_pca_geom_nav","IMPT_score_pca_geom_no_nav","IMPT_score_pca_avg_no_nav","IMPT_score_pca_avg_nav","IMPT_entropy_pca_nav","IMPT_entropy_pca_no_nav","Accessibility_Index_bike","Mobility_Index_bike","Safety_Index_bike","IMPT_score_pca_geom_bike","IMPT_score_pca_avg_bike","Accessibility_Index_walk","Mobility_Index_walk","Safety_Index_walk","IMPT_score_pca_geom_walk","IMPT_score_pca_avg_walk","Accessibility_Index_pt","Affordability_Index_pt_no_nav","Affordability_Index_pt_nav","Mobility_Index_pt","IMPT_score_pca_geom_pt_no_nav","IMPT_score_pca_geom_pt_nav","IMPT_score_pca_avg_pt_no_nav","IMPT_score_pca_avg_pt_nav","Accessibility_Index_car","Affordability_Index_car","Mobility_Index_car","Safety_Index_car","IMPT_score_pca_geom_car","IMPT_score_pca_avg_car"
"110920","União das freguesias de Igreja Nova e Cheleiros","PT1B","1109",24.176646180395,37.1238103524874,39.0427793648171,1,72.8002020770755,81.3595058939596,81.5991646054766,66.2248353475105,65.7450930944281,88.3181667451988,88.1211263313601,31.2595612500467,5.96284489917192,66.6285714285714,76.233852010079,74.0372556055525,13.8623760519182,1.26823888080803,56.8030660377358,88.5096108189494,76.0221063431793,25.587001274256,36.4935791005896,24.468039956657,1,88.4140669488472,89.9363534855752,78.9731398750514,82.981652923029,33.5992285412751,39.5268047314425,27.156011807168,55.7641509433962,62.308682708014,60.9884509941795
"110921","União das freguesias de Malveira e São Miguel de Alcainça","PT1B","1109",36.6202703133865,64.2098881568488,64.4250180285007,38.8070211779579,64.7974917132483,50.611237205439,50.6527103327904,48.8913321596396,48.8375496917266,54.1926445597581,53.8897789674862,44.3288351883608,30.1791598461456,49.3178571428571,59.5694815008482,69.0435369556591,30.1572062727173,29.6348735219659,44.9362264150943,65.7377538840813,65.0905645967408,26.2059511701582,41.6745514943144,40.5047828172072,34.0696129601943,66.5976626015609,66.9149179114799,66.016628125111,66.4065510174801,49.0313210314195,69.5518837263456,78.8348720327515,45.6172459893048,40.7964005438115,39.2411693050447
"110922","União das freguesias de Venda do Pinheiro e Santo Estêvão das Galés","PT1B","1109",38.185634216954,55.0454900455101,55.5372552460363,15.5943570581794,64.5921614442385,61.5934428408993,61.679414052685,56.6455893087795,56.5226480086479,67.9411705815013,67.6182757559349,45.4575652026981,6.49057531582615,48.7142857142857,75.1366799135784,74.8343934417975,31.4991595431678,15.188220627888,47.9289083557951,71.4734804736066,68.4612371577164,26.1357998061337,41.6517915719822,38.7339847155265,13.5653854601258,75.3590588211189,75.9576214374467,72.8823410539195,73.8549433394047,52.693827015239,58.3518762610473,52.4198142154493,44.2576652282535,48.3148364316676,48.0692043200027
"111002","Barcarena","PT1B","1110",66.8705003356983,75.8632784931176,76.7802979328762,50.8792402868234,57.1496629858167,37.8282561488114,38.0152816984589,37.309329474636,37.0800746146964,40.2464529921111,40.0590271918886,64.5107592473108,27.2248385202051,48.7142857142857,55.8689850069274,64.8875291295496,56.7608826370949,26.4833090484522,44.6819666182874,59.2987367159665,57.3579472320552,59.8703343523897,49.9707480680514,45.752458645162,59.1989251573813,43.8382989939965,45.460799158076,43.6533308073926,45.059427281689,83.4684027695459,84.2273951175497,78.2991995233909,35.7046035805627,33.3425368631882,29.5750997522377
"111009","Porto Salvo","PT1B","1110",55.3637510395408,70.3783124240564,72.1240688602317,48.5788027482852,60.146256631739,41.5459373196252,41.9040092029414,41.3832192890946,40.9467801800508,44.1571001577091,44.1007124286359,56.7436120593698,33.6178978412762,46.4642857142857,55.3903020446692,65.7935510962671,44.3396128308611,28.4437958165018,41.3608490566038,62.6164251464256,61.9519140986778,46.2692484099504,51.2080873519635,43.9870039114201,52.1147855818345,50.2023091233657,52.6614372498908,50.1359595520839,52.5429873655983,73.7528482270237,78.7929325295347,78.2450356868247,41,34.2496754366997,32.0522958891543
"111012","União das freguesias de Algés, Linda-a-Velha e Cruz Quebrada-Dafundo","PT1B","1110",69.9425329365576,69.34965689451,70.1866282485079,56.750656110694,34.5285768821865,44.2638369465453,44.4313450932184,42.357144294013,42.1479014555135,43.6051434492618,43.4660908084057,72.1125634323534,31.0039264417778,43.2726890756303,54.0347045559936,63.4027052625596,58.1719694514405,34.9350265269168,22.151628119294,64.3501801701882,61.5804586341163,60.5944505385054,43.5627719653094,40.0893408462179,63.7581010869563,44.7741586519058,46.2746826904294,44.028225469743,45.1860358427735,84.8916105443546,78.63864611619,79.3029452180266,21.6853355426678,41.5861324206578,33.8703656446903
"111013","União das freguesias de Carnaxide e Queijas","PT1B","1110",65.6082971042938,79.8267428184484,80.6675530804697,46.8915064106154,40.6630896075225,43.601973399256,43.7502829221156,41.75259101478,41.5423884492747,45.5988957177454,45.24811965542,68.7868711522797,11.7738503549107,43.8928571428571,66.7948946286999,68.8866053374881,53.7295279393529,29.6630525883855,26.247641509434,65.240727979794,63.4532593209425,56.6089424958148,55.0109051446156,51.040412240626,58.7380621658866,43.2341446774222,44.632697226419,43.214030064561,44.5375276992242,80.2462855424103,87.5603838692066,66.3285202359472,27.0703193277311,40.2743241553379,34.6986227561762
"111014","União das freguesias de Oeiras e São Julião da Barra, Paço de Arcos e Caxias","PT1B","1110",65.5492904722211,63.4129649194904,64.535343379312,51.9523255462267,16.956038175064,55.8738126893765,56.0682773501679,50.5323452217495,50.2517506067941,53.7896720967136,53.6091413117189,65.1478141333566,36.0898594361339,38.4776954177898,55.075881847037,65.0711577531799,56.0340060863722,29.8776051452761,11.8900943396226,72.6853502207806,67.399431476243,57.1822012312401,42.2009866768299,37.4869971455793,60.2526561817255,47.4035226117988,49.428507448172,46.7880519700681,48.3593818138184,81.0956223861292,71.5148298488377,58.7108620526319,12.757166001994,53.9746228077293,43.9803799276018
"111102","Algueirão-Mem Martins","PT1B","1111",64.1366499386384,38.6698152258276,41.248891180715,42.376975924624,35.0836179213632,55.4432724387489,56.1550302122779,54.9332352473867,54.2884662586649,54.5970922015139,55.2046936177467,67.3314040977956,16.5375278197359,42.3928571428571,63.6747847037085,68.4345527349028,54.5928223145219,27.0568883398982,14.8623751387347,71.8609438047442,67.829304735615,56.6254152666803,28.5239316978009,19.858236489379,52.1807121183372,56.1067752233951,61.0163962725392,54.2233136390605,57.1118787085345,75.2439626162738,46.6408231650007,58.5365339036652,25.3075131042516,52.161533956793,48.5677918027022
"111105","Colares","PT1B","1111",40.0193800011281,48.5217668764155,48.9677433465344,30.6890166616264,64.4856186504833,55.5866665458049,55.6883392413878,54.0710544525867,53.9595603350569,59.0052976894593,58.9188330214056,48.9138531229956,15.3835364791692,48.7142857142857,66.6149243332205,71.7470811708874,33.1063135484041,13.807518804747,48.5566037735849,71.7490795843229,68.176521291088,32.8181049731185,33.2281767780759,30.5820497220374,40.7943407965136,64.5623658268553,65.526637781718,64.386459150764,65.2685015027768,46.6218910164575,52.15819602933,41.9266491458363,45.2970716670948,53.6397108130896,53.4990480353204
